funding_time,product_id,funding_rate,index_price,settlement_price,mid,price,open_interest,volume_24h,fetched_at
2026-09-04T21:00:00Z,CHN-19DEC30-CDE,-2.6e-05,2948.664295,2923.9,2952.3,2947.5,256,1069,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,DEF-19DEC30-CDE,-2.1e-05,2756.036843,2791.9,2809,2752.9,191,431,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,DOP-20DEC30-CDE,2e-06,0.084938,0.08934,0.086885,0.08474,2397,10195,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,ENA-20DEC30-CDE,2e-06,0.164799,0.17095,0.16599,0.16406,1071,16121,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,ETP-20DEC30-CDE,5e-06,2454.520364,2519,2457,2452.5,314677,400119,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,HEP-20DEC30-CDE,-3e-06,0.078251,0.07969,0.07745,0.07814,2188,16691,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,HYP-20DEC30-CDE,2.2e-05,84.221533,85.88,84.885,84.32,9351,22033,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,LCP-20DEC30-CDE,6e-06,50.86422,51.67,49,50.87,3130,5329,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,LNP-20DEC30-CDE,6e-06,11.684794,11.855,12.0755,11.682,4276,9758,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,NER-20DEC30-CDE,7e-06,2.123886,1.9821,2.1325,2.1047,1305,10357,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,OND-20DEC30-CDE,7e-06,0.357975,0.3676,0.3598,0.3571,5029,10506,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,PAU-20DEC30-CDE,0,4433.78,4475.7,4431.9,4432,1156,2172,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,PEP-20DEC30-CDE,8e-06,0.00358,0.00381,0.003642,0.003575,609,4865,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,POP-20DEC30-CDE,-9e-06,0.878507,0.896,0.8785,0.869,4413,4530,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,SHP-20DEC30-CDE,7e-06,0.00524,0.00544,0.005225,0.00522,3082,4017,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,SLP-20DEC30-CDE,-7e-06,101.835418,105.24,102.115,101.72,36037,63506,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,SUP-20DEC30-CDE,5e-06,0.758712,0.7897,0.7564,0.7593,5041,17514,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,TEK-19DEC30-CDE,-1e-06,3962.315026,3976.5,3968.15,3962.5,597,4966,2026-09-04T21:25:07Z
